height 	Yvelocity 	xPosition 	Xvelocity 	
100	4.89387	0	0	
95.0085	6.37516	-0.127519	0	
88.7159	7.85646	-0.00135868	0.121143	
80.7779	9.33775	-0.108864	0.00734787	
71.4372	10.819	0.0350621	0.103788	
60.5316	12.3003	-0.0250714	-0.0281196	
48.2055	13.7816	-0.0270072	0.0224118	
36.0629	13.6374	-0.101063	0.0267774	
25.7205	11.8543	-0.0297588	0.0973487	
17.8116	9.27201	-0.0273771	0.0331383	
12.4153	6.84159	-0.0879165	0.0276651	
8.90728	5.06733	0.0232272	0.084904	
6.54846	3.95959	0.0419983	-0.0178207	
4.57956	3.32442	0.0333876	-0.0407894	
3.05307	2.9633	0.02424	-0.0337577	
1.65693	2.75709	0.0366163	-0.0247159	
0.498572	2.62981	-0.00195022	-0.0360213	
