height 	Yvelocity 	xPosition 	Xvelocity 	
100	7.846	0	0	
99.92	1.879	0.09585	0	
98.11	3.757	-0.04905	-0.08626	
94.23	5.636	-0.02724	0.03552	
89.96	6.071	-0.005727	0.02807	
85.56	6.274	0.05142	0.007961	
81.12	6.363	-0.02316	-0.04548	
76.47	6.401	-0.08127	0.0163	
71.98	6.417	-0.04502	0.07478	
67.4	6.424	0.07179	0.04799	
62.77	6.427	0.02821	-0.05981	
58.14	6.428	0.07662	-0.03137	
53.64	6.428	0.02237	-0.07209	
49.12	6.429	-0.03251	-0.02734	
44.57	6.429	-0.08623	0.02652	
39.97	6.429	-0.03025	0.08026	
35.34	6.429	0.01721	0.03525	
30.84	6.429	-0.01715	-0.01197	
26.16	6.429	-0.03145	0.01424	
21.39	6.567	0.01683	0.02973	
16.98	6.417	-0.04685	-0.01217	
12.88	6.087	-0.06621	0.04095	
9.047	5.671	0.0509	0.06369	
5.543	5.238	0.003872	-0.03944	
2.541	4.835	0.0883	-0.007429	
