fxV 	fxpos 	getThrust 	
0 	0 	0 	
0 	0.09585 	0.08626 	
0.08626 	-0.04905 	-0.1218 	
-0.03552 	-0.02724 	0.007453 	
-0.02807 	-0.005727 	0.02011 	
-0.007961 	0.05142 	0.05344 	
0.04548 	-0.02316 	-0.06178 	
-0.0163 	-0.08127 	-0.05848 	
-0.07478 	-0.04502 	0.02678 	
-0.04799 	0.07179 	0.1078 	
0.05981 	0.02821 	-0.02844 	
0.03137 	0.07662 	0.04072 	
0.07209 	0.02237 	-0.04475 	
0.02734 	-0.03251 	-0.05386 	
-0.02652 	-0.08623 	-0.05374 	
-0.08026 	-0.03025 	0.04501 	
-0.03525 	0.01721 	0.04722 	
0.01197 	-0.01715 	-0.02621 	
-0.01424 	-0.03145 	-0.01549 	
-0.02973 	0.01683 	0.0419 	
0.01217 	-0.04685 	-0.05312 	
-0.04095 	-0.06621 	-0.02274 	
-0.06369 	0.0509 	0.1031 	
0.03944 	0.003872 	-0.03201 	
0.007429 	0.0883 	0.07278 	
