yV 	height 	fyV 	fheight 	dyV 	dheight 	getBurn 	
7.846 	100 	1 	0 	7.846 	0 	7.846 	
1.879 	99.92 	0 	0 	0 	0 	0 	
3.757 	98.11 	0 	0 	0 	0 	0 	
5.636 	94.23 	0.2562 	0 	1.444 	0 	1.444 	
6.071 	89.96 	0.2759 	0 	1.675 	0 	1.675 	
6.274 	85.56 	0.2852 	0 	1.789 	0 	1.789 	
6.363 	81.12 	0.2892 	0 	1.841 	0 	1.841 	
6.401 	76.47 	0.291 	0 	1.863 	0 	1.863 	
6.417 	71.98 	0.2917 	0 	1.872 	0 	1.872 	
6.424 	67.4 	0.292 	0 	1.876 	0 	1.876 	
6.427 	62.77 	0.2921 	0 	1.877 	0 	1.877 	
6.428 	58.14 	0.2922 	0 	1.878 	0 	1.878 	
6.428 	53.64 	0.2922 	0 	1.878 	0 	1.878 	
6.429 	49.12 	0.2922 	0.1088 	1.878 	0.5595 	1.878 	
6.429 	44.57 	0.2922 	0.1543 	1.879 	0.7936 	1.879 	
6.429 	39.97 	0.2922 	0.2003 	1.879 	1.03 	1.879 	
6.429 	35.34 	0.2922 	0.2466 	1.879 	1.268 	1.879 	
6.429 	30.84 	0.2922 	0.2916 	1.879 	1.499 	1.879 	
6.429 	26.16 	0.2922 	0.3384 	1.879 	1.74 	1.74 	
6.567 	21.39 	0.2985 	0.3861 	1.96 	2.029 	2.029 	
6.417 	16.98 	0.2917 	0.4302 	1.872 	2.208 	2.208 	
6.087 	12.88 	0.2767 	0.4712 	1.684 	2.295 	2.295 	
5.671 	9.047 	0.2578 	0.5095 	1.462 	2.312 	2.312 	
5.238 	5.543 	0.2381 	0.5446 	1.247 	2.282 	2.282 	
4.835 	2.541 	0.2198 	0.5746 	1.062 	2.222 	2.222 	
