x, y, z
-25,-25,-96243
-25,-20,-57618
-25,-15,-33993
-25,-10,-21618
-25,-5,-16743
-25,0,-15618
-25,5,-14493
-25,10,-9618
-25,15,2757
-25,20,26382
-20,-25,-88118
-20,-20,-49593
-20,-15,-26068
-20,-10,-13793
-20,-5,-9018
-20,0,-7993
-20,5,-6968
-20,10,-2193
-20,15,10082
-20,20,33607
-15,-25,-82993
-15,-20,-44568
-15,-15,-21143
-15,-10,-8968
-15,-5,-4293
-15,0,-3368
-15,5,-2443
-15,10,2232
-15,15,14407
-15,20,37832
-10,-25,-80118
-10,-20,-41793
-10,-15,-18468
-10,-10,-6393
-10,-5,-1818
-10,0,-993
-10,5,-168
-10,10,4407
-10,15,16482
-10,20,39807
-5,-25,-78743
-5,-20,-40518
-5,-15,-17293
-5,-10,-5318
-5,-5,-843
-5,0,-118
-5,5,607
-5,10,5082
-5,15,17057
-5,20,40282
0,-25,-78118
0,-20,-39993
0,-15,-16868
0,-10,-4993
0,-5,-618
0,0,7
0,5,632
0,10,5007
0,15,16882
0,20,40007
5,-25,-77493
5,-20,-39468
5,-15,-16443
5,-10,-4668
5,-5,-393
5,0,132
5,5,657
5,10,4932
5,15,16707
5,20,39732
10,-25,-76118
10,-20,-38193
10,-15,-15268
10,-10,-3593
10,-5,582
10,0,1007
10,5,1432
10,10,5607
10,15,17282
10,20,40207
15,-25,-73243
15,-20,-35418
15,-15,-12593
15,-10,-1018
15,-5,3057
15,0,3382
15,5,3707
15,10,7782
15,15,19357
15,20,42182
20,-25,-68118
20,-20,-30393
20,-15,-7668
20,-10,3807
20,-5,7782
20,0,8007
20,5,8232
20,10,12207
20,15,23682
20,20,46407
