x, y, z
-25,-25,0.166738
-25,-20,0.730783
-25,-15,1.67356
-25,-10,3.5714
-25,-5,9.4037
-25,0,-2.08205
-25,5,-13.5029
-25,10,-7.70454
-25,15,-5.82272
-25,20,-4.88625
-20,-25,-0.00542462
-20,-20,0.411167
-20,-15,1.10772
-20,-10,2.51074
-20,-5,6.82914
-20,0,-1.66565
-20,5,-10.0755
-20,10,-5.80985
-20,15,-4.42383
-20,20,-3.73375
-15,-25,-0.150315
-15,-20,0.125655
-15,-15,0.587389
-15,-10,1.51853
-15,-5,4.3932
-15,0,-1.24925
-15,5,-6.78764
-15,10,-3.98367
-15,15,-3.07047
-15,20,-2.61536
-10,-25,-0.248672
-10,-20,-0.101665
-10,-15,0.14472
-10,-10,0.643106
-10,-5,2.19379
-10,0,-0.832846
-10,5,-3.73793
-10,10,-2.27437
-10,15,-1.79479
-10,20,-1.55517
-5,-25,-0.258277
-5,-20,-0.217997
-5,-15,-0.149825
-5,-10,-0.00956022
-5,-5,0.445617
-5,0,-0.416444
-5,5,-1.14257
-5,10,-0.788018
-5,15,-0.667263
-5,20,-0.605983
0,-25,-0.0399227
0,-20,-0.0492635
0,-15,-0.0639591
0,-10,-0.0902546
0,-5,-0.14508
0,0,-4.19563e-05
0,5,0.287953
0,10,0.12591
0,15,0.0797593
0,20,0.0581144
5,-25,0.933324
5,-20,1.06349
5,-15,1.28173
5,-10,1.72353
5,-5,3.10046
5,0,0.41636
5,5,-2.14349
5,10,-0.856214
5,15,-0.433356
5,20,-0.221903
10,-25,13.8523
10,-20,17.1148
10,-15,22.5635
10,-10,33.5164
10,-5,67.0533
10,0,0.832762
10,5,-65.6897
10,10,-31.8424
10,15,-20.8874
10,20,-15.442
15,-25,-6.23077
15,-20,-8.10408
15,-15,-11.2313
15,-10,-17.5126
15,-5,-36.7052
15,0,1.24916
15,5,39.6002
15,10,20.0622
15,15,13.7486
15,20,10.6123
20,-25,-4.24418
20,-20,-5.72411
20,-15,-8.19448
20,-10,-13.1557
20,-5,-28.3093
20,0,1.66557
20,5,31.9836
20,10,16.5348
20,15,11.5439
20,20,9.06494
