0: min fit = 0.413213, time = 0
1: min fit = 0.32541, time = 0
2: min fit = 0.0797926, time = 0
3: min fit = 0.0797926, time = 0
4: min fit = 0.0797926, time = 0
5: min fit = 0.00988448, time = 0
6: min fit = 0.00988448, time = 0
7: min fit = 0.00115802, time = 0
8: min fit = 0.00115802, time = 1
9: min fit = 0.00988448, time = 0
10: min fit = 0.00988448, time = 0
11: min fit = 0.00988448, time = 1
12: min fit = 0.00988448, time = 1
13: min fit = 0.00988448, time = 1
14: min fit = 0.00988448, time = 0
15: min fit = 0.00988448, time = 0
16: min fit = 0.00988448, time = 0
17: min fit = 0.00988448, time = 0
18: min fit = 0.00988448, time = 0
19: min fit = 0.00988448, time = 0
20: min fit = 0.00988448, time = 0
21: min fit = 0.00988448, time = 0
22: min fit = 0.00988448, time = 0
23: min fit = 0.00988448, time = 0
24: min fit = 0.00988448, time = 0
25: min fit = 0.00988448, time = 0
26: min fit = 0.00279776, time = 1
27: min fit = 0.00279776, time = 0
28: min fit = 0.00279776, time = 0
29: min fit = 0.00279776, time = 0
30: min fit = 0.00279776, time = 0
31: min fit = 0.00279776, time = 0
32: min fit = 0.00279776, time = 0
33: min fit = 0.00279776, time = 0
34: min fit = 0.00279776, time = 0
35: min fit = 0.00279776, time = 1
36: min fit = 0.00279776, time = 0
37: min fit = 0.026489, time = 0
38: min fit = 0.00805632, time = 0
39: min fit = 0.00805632, time = 0
40: min fit = 0.00805632, time = 0
41: min fit = 0.00805632, time = 0
42: min fit = 0.00805632, time = 0
43: min fit = 0.00805632, time = 0
44: min fit = 0.00590513, time = 1
45: min fit = 0.00177916, time = 0
46: min fit = 0.00443536, time = 0
47: min fit = 0.00443536, time = 0
48: min fit = 0.00443536, time = 0
49: min fit = 0.00443536, time = 0
50: min fit = 0.00938583, time = 0
51: min fit = 0.00938583, time = 0
52: min fit = 0.00938583, time = 0
53: min fit = 0.00938583, time = 0
54: min fit = 0.00122406, time = 0
55: min fit = 0.016931, time = 0
56: min fit = 0.016931, time = 0
57: min fit = 0.0112653, time = 0
58: min fit = 0.016931, time = 1
59: min fit = 0.016931, time = 0
60: min fit = 0.016931, time = 0
61: min fit = 0.016931, time = 0
62: min fit = 0.016931, time = 0
63: min fit = 0.00490862, time = 0
64: min fit = 0.00490862, time = 0
65: min fit = 0.00490862, time = 0
66: min fit = 0.016931, time = 0
67: min fit = 0.00594115, time = 0
68: min fit = 0.016931, time = 0
69: min fit = 0.016931, time = 0
70: min fit = 0.016931, time = 0
71: min fit = 0.0077835, time = 0
72: min fit = 0.016931, time = 0
73: min fit = 0.0145432, time = 1
74: min fit = 0.0145432, time = 0
75: min fit = 0.0145432, time = 0
76: min fit = 0.00447334, time = 0
77: min fit = 0.0123286, time = 0
78: min fit = 0.0123286, time = 1
79: min fit = 0.0123286, time = 0
80: min fit = 0.0123286, time = 0
81: min fit = 0.0123286, time = 0
82: min fit = 0.0123286, time = 0
83: min fit = 0.00303902, time = 0
84: min fit = 0.0123286, time = 0
85: min fit = 0.0132934, time = 0
86: min fit = 0.0596189, time = 0
87: min fit = 0.0596189, time = 0
88: min fit = 0.0596189, time = 0
89: min fit = 0.0127701, time = 0
90: min fit = 0.0127701, time = 1
91: min fit = 0.00668263, time = 0
92: min fit = 0.0127701, time = 0
93: min fit = 0.0362459, time = 0
94: min fit = 0.0362459, time = 0
95: min fit = 0.0344757, time = 0
96: min fit = 0.00479342, time = 0
97: min fit = 0.00213517, time = 0
