Hip_r_ang (adjusted):	116922641595.922490 (11692264159592.248000)
Knee_r_ang (adjusted):	360103281.039788 (36010328103.978798)
Ankle_r_ang (adjusted):	1245458279.418995 (6227291397094.973600)
Hip_l_ang (adjusted):	2308608484080.565900 (2308608484080.565900)
Knee_l_ang (adjusted):	1182579248283.995100 (1182579248283.995100)
Ankle_l_ang (adjusted):	4996576496522255.000000 (24982882482611273000000.000000)
Tx (adjusted):		78837.231137 (78837.231137)
Ty (adjusted):		1152323.460291 (17284851.904368)
Hip_l_trq (adjusted):	835.247914 (1670.495829)
Knee_l_trq (adjusted):	27500.116760 (55000.233521)
Ankle_l_trq (adjusted):	8306.908573 (16613.817145)
Hip_l_pwr (adjusted):	1133242.278404 (1133242.278404)
Knee_l_pwr (adjusted):	581783.165010 (581783.165010)
Ankle_l_pwr (adjusted):	7561847.685487 (756184.768549)
GrfZ_l (adjusted):	283760116781354.620000 (19863208174694825000000.000000)
GrfX_l (adjusted):	138127937806475.140000 (11050235024518012000000.000000)
GrfZ_r (adjusted):	940992631446856.250000 (94099263144685.625000)
GrfX_r (adjusted):	0.000000 (0.000000)
Ank_ang_vel (adjusted):	1377664.303554 (1377664.303554)
Pelvis_rot (adjusted):	255897564.923838 (1919231736928783800000.000000)
MechEngy (adjusted):	1143.643600 (1143.643600)
Extpwr (adjusted):	1930010.199854 (1930010.199854)
SysME (adjusted):	2458.281582 (2458.281582)
SysKE (adjusted):	3567.153523 (3567.153523)
SysPE (adjusted):	1927.430562 (1927.430562)
MusPwr (adjusted):	736442.017556 (7364420.175556)
MusExc (adjusted):	861.278445 (8612784.449207)
lGrfOn (adjusted):	0.040000 (0.040000)
NetMEE (adjusted):	-9.922358 (98.453190)
NetTen (adjusted):	-2.169171 (4.705305)
Met Cost (adjusted):	268.276432 (2681557071897687300000000.000000)

