Hip_r_ang (adjusted):	100657504482.622910 (10065750448262.291000)
Knee_r_ang (adjusted):	712325686.393529 (71232568639.352875)
Ankle_r_ang (adjusted):	1177942312.305878 (5889711561529.388700)
Hip_l_ang (adjusted):	730950088531.846440 (730950088531.846440)
Knee_l_ang (adjusted):	1654125463559.714100 (1654125463559.714100)
Ankle_l_ang (adjusted):	11593038008056422.000000 (57965190040282114000000.000000)
Tx (adjusted):		92495.079196 (92495.079196)
Ty (adjusted):		2554011.126390 (38310166.895852)
Hip_l_trq (adjusted):	891.296799 (1782.593599)
Knee_l_trq (adjusted):	55540.550143 (111081.100286)
Ankle_l_trq (adjusted):	9627.248912 (19254.497824)
Hip_l_pwr (adjusted):	3376987.745437 (3376987.745437)
Knee_l_pwr (adjusted):	2776835.504609 (2776835.504609)
Ankle_l_pwr (adjusted):	7077111.163179 (707711.116318)
GrfZ_l (adjusted):	384787020141611.810000 (26935091409912827000000.000000)
GrfX_l (adjusted):	80344206313089.187000 (6427536505047135300000.000000)
GrfZ_r (adjusted):	1059699172803395.700000 (105969917280339.580000)
GrfX_r (adjusted):	0.000000 (0.000000)
Ank_ang_vel (adjusted):	896663.870509 (896663.870509)
Pelvis_rot (adjusted):	176839357.962702 (1326295184720261800000.000000)
MechEngy (adjusted):	1556.862966 (1556.862966)
Extpwr (adjusted):	2488172.998478 (2488172.998478)
SysME (adjusted):	1738.039210 (1738.039210)
SysKE (adjusted):	3119.116187 (3119.116187)
SysPE (adjusted):	1242.658472 (1242.658472)
MusPwr (adjusted):	643790.102138 (6437901.021381)
MusExc (adjusted):	739.927934 (7399279.337869)
lGrfOn (adjusted):	1.000000 (1.000000)
NetMEE (adjusted):	-9.171734 (84.120704)
NetTen (adjusted):	-1.209874 (1.463796)
Met Cost (adjusted):	244.701732 (2445916160125102500000000.000000)

