Cost = 127842140685913.390000	# of function calls = 0
Cost = 127842140685907.750000	# of function calls = 13
Cost = 127648795567138.250000	# of function calls = 55
Cost = 127613846726032.970000	# of function calls = 66
Cost = 127579744256732.940000	# of function calls = 119
Cost = 127559694337110.610000	# of function calls = 129
Cost = 127515047027633.060000	# of function calls = 160
Cost = 127515047027186.060000	# of function calls = 176
Cost = 127234444903254.730000	# of function calls = 183
Cost = 127030005662992.030000	# of function calls = 194
