Hip_r_ang (adjusted):	101532617683.831440 (10153261768383.145000)
Knee_r_ang (adjusted):	725333008.816960 (72533300881.696030)
Ankle_r_ang (adjusted):	1240282921.067256 (6201414605336.280300)
Hip_l_ang (adjusted):	666651756577.116580 (666651756577.116580)
Knee_l_ang (adjusted):	1734598779589.443800 (1734598779589.443800)
Ankle_l_ang (adjusted):	12064345601015880.000000 (60321728005079397000000.000000)
Tx (adjusted):		92752.715061 (92752.715061)
Ty (adjusted):		2586543.800898 (38798157.013473)
Hip_l_trq (adjusted):	893.350512 (1786.701025)
Knee_l_trq (adjusted):	64809.694313 (129619.388626)
Ankle_l_trq (adjusted):	9686.878710 (19373.757419)
Hip_l_pwr (adjusted):	3988373.770240 (3988373.770240)
Knee_l_pwr (adjusted):	3331363.834296 (3331363.834296)
Ankle_l_pwr (adjusted):	6178846.500019 (617884.650002)
GrfZ_l (adjusted):	386672408565203.870000 (27067068599564272000000.000000)
GrfX_l (adjusted):	71705477567723.312000 (5736438205417865100000.000000)
GrfZ_r (adjusted):	1116605080509986.000000 (111660508050998.610000)
GrfX_r (adjusted):	0.000000 (0.000000)
Ank_ang_vel (adjusted):	845112.642459 (845112.642459)
Pelvis_rot (adjusted):	118057244.960937 (885429337207030810000.000000)
MechEngy (adjusted):	1584.775956 (1584.775956)
Extpwr (adjusted):	2494664.852664 (2494664.852664)
SysME (adjusted):	1754.002679 (1754.002679)
SysKE (adjusted):	3179.082581 (3179.082581)
SysPE (adjusted):	1089.129301 (1089.129301)
MusPwr (adjusted):	624185.370195 (6241853.701951)
MusExc (adjusted):	740.684245 (7406842.449133)
lGrfOn (adjusted):	0.360000 (0.360000)
NetMEE (adjusted):	-9.430086 (88.926530)
NetTen (adjusted):	-1.524802 (2.325021)
Met Cost (adjusted):	244.769091 (2446589448982083000000000.000000)

